Codes,Description
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus"
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus"
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus"
C44.121," Squamous cell carcinoma of skin of unspecified eyelid, including canthus"
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus"
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus"
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus"
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus"
C44.131," Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus"
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus"
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus"
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus"
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus"
C44.191," Other specified malignant neoplasm of skin of unspecified eyelid, including canthus"
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus"
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus"
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus"
C44.1992,"Other specified malignant neoplasm of skin of left lower eyelid, including canthus"
C44.201, Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal
C44.202, Unspecified malignant neoplasm of skin of right ear and external auricular canal
C44.209, Unspecified malignant neoplasm of skin of left ear and external auricular canal
C44.211, Basal cell carcinoma of skin of unspecified ear and external auricular canal
C44.212, Basal cell carcinoma of skin of right ear and external auricular canal
C44.219, Basal cell carcinoma of skin of left ear and external auricular canal
C44.221, Squamous cell carcinoma of skin of unspecified ear and external auricular canal
C44.222, Squamous cell carcinoma of skin of right ear and external auricular canal
C44.229, Squamous cell carcinoma of skin of left ear and external auricular canal
C44.291, Other specified malignant neoplasm of skin of unspecified ear and external auricular canal
C44.292, Other specified malignant neoplasm of skin of right ear and external auricular canal
C44.299, Other specified malignant neoplasm of skin of left ear and external auricular canal
C44.300, Unspecified malignant neoplasm of skin of unspecified part of face
C44.301, Unspecified malignant neoplasm of skin of nose
C44.309, Unspecified malignant neoplasm of skin of other parts of face
C44.310, Basal cell carcinoma of skin of unspecified parts of face
C44.311, Basal cell carcinoma of skin of nose
C44.319, Basal cell carcinoma of skin of other parts of face
C44.320, Squamous cell carcinoma of skin of unspecified parts of face
C44.321, Squamous cell carcinoma of skin of nose
C44.329, Squamous cell carcinoma of skin of other parts of face
C44.390, Other specified malignant neoplasm of skin of unspecified parts of face
C44.391, Other specified malignant neoplasm of skin of nose
C44.399, Other specified malignant neoplasm of skin of other parts of face
C44.40,  Unspecified malignant neoplasm of skin of scalp and neck
C44.41,  Basal cell carcinoma of skin of scalp and neck
C44.42,  Squamous cell carcinoma of skin of scalp and neck
C44.49,  Other specified malignant neoplasm of skin of scalp and neck
C44.500, Unspecified malignant neoplasm of anal skin
C44.501, Unspecified malignant neoplasm of skin of breast
C44.509, Unspecified malignant neoplasm of skin of other part of trunk
C44.510, Basal cell carcinoma of anal skin
C44.511, Basal cell carcinoma of skin of breast
C44.519, Basal cell carcinoma of skin of other part of trunk
C44.520, Squamous cell carcinoma of anal skin
C44.521, Squamous cell carcinoma of skin of breast
C44.529, Squamous cell carcinoma of skin of other part of trunk
C44.590, Other specified malignant neoplasm of anal skin
C44.591, Other specified malignant neoplasm of skin of breast
C44.599, Other specified malignant neoplasm of skin of other part of trunk
C44.601," Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder"
C44.602," Unspecified malignant neoplasm of skin of right upper limb, including shoulder"
C44.609," Unspecified malignant neoplasm of skin of left upper limb, including shoulder"
C44.611," Basal cell carcinoma of skin of unspecified upper limb, including shoulder"
C44.612," Basal cell carcinoma of skin of right upper limb, including shoulder"
C44.619," Basal cell carcinoma of skin of left upper limb, including shoulder"
C44.621," Squamous cell carcinoma of skin of unspecified upper limb, including shoulder"
C44.622," Squamous cell carcinoma of skin of right upper limb, including shoulder"
C44.629," Squamous cell carcinoma of skin of left upper limb, including shoulder"
C44.691," Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder"
C44.692," Other specified malignant neoplasm of skin of right upper limb, including shoulder"
C44.699," Other specified malignant neoplasm of skin of left upper limb, including shoulder"
C44.701," Unspecified malignant neoplasm of skin of unspecified lower limb, including hip"
C44.702," Unspecified malignant neoplasm of skin of right lower limb, including hip"
C44.709," Unspecified malignant neoplasm of skin of left lower limb, including hip"
C44.711," Basal cell carcinoma of skin of unspecified lower limb, including hip"
C44.712," Basal cell carcinoma of skin of right lower limb, including hip"
C44.719," Basal cell carcinoma of skin of left lower limb, including hip"
C44.721," Squamous cell carcinoma of skin of unspecified lower limb, including hip"
C44.722," Squamous cell carcinoma of skin of right lower limb, including hip"
C44.729," Squamous cell carcinoma of skin of left lower limb, including hip"
C44.791," Other specified malignant neoplasm of skin of unspecified lower limb, including hip"
C44.792," Other specified malignant neoplasm of skin of right lower limb, including hip"
C44.799," Other specified malignant neoplasm of skin of left lower limb, including hip"
C44.80,  Unspecified malignant neoplasm of overlapping sites of skin
C44.81,  Basal cell carcinoma of overlapping sites of skin
C44.82,  Squamous cell carcinoma of overlapping sites of skin
C44.89,  Other specified malignant neoplasm of overlapping sites of skin
C44.90,"  Unspecified malignant neoplasm of skin, unspecified"
C44.91,"  Basal cell carcinoma of skin, unspecified"
C44.92,"  Squamous cell carcinoma of skin, unspecified"
C44.99,"  Other specified malignant neoplasm of skin, unspecified"
C45.0,   Mesothelioma of pleura
C45.1,   Mesothelioma of peritoneum
C45.2,   Mesothelioma of pericardium
C45.7,   Mesothelioma of other sites
C45.9,"   Mesothelioma, unspecified"
C46.0,   Kaposi's sarcoma of skin
C46.1,   Kaposi's sarcoma of soft tissue
C46.2,   Kaposi's sarcoma of palate
C46.3,   Kaposi's sarcoma of lymph nodes
C46.4,   Kaposi's sarcoma of gastrointestinal sites
C46.50,  Kaposi's sarcoma of unspecified lung
C46.51,  Kaposi's sarcoma of right lung
C46.52,  Kaposi's sarcoma of left lung
C46.7,   Kaposi's sarcoma of other sites
C46.9,"   Kaposi's sarcoma, unspecified"
C47.0,"   Malignant neoplasm of peripheral nerves of head, face and neck"
C47.10,"  Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder"
C47.11,"  Malignant neoplasm of peripheral nerves of right upper limb, including shoulder"
C47.12,"  Malignant neoplasm of peripheral nerves of left upper limb, including shoulder"
C47.20,"  Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip"
C47.21,"  Malignant neoplasm of peripheral nerves of right lower limb, including hip"
C47.22,"  Malignant neoplasm of peripheral nerves of left lower limb, including hip"
C47.3,   Malignant neoplasm of peripheral nerves of thorax
C47.4,   Malignant neoplasm of peripheral nerves of abdomen
C47.5,   Malignant neoplasm of peripheral nerves of pelvis
C47.6,"   Malignant neoplasm of peripheral nerves of trunk, unspecified"
C47.8,   Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system
C47.9,"   Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified"
C48.0,   Malignant neoplasm of retroperitoneum
C48.1,   Malignant neoplasm of specified parts of peritoneum
C48.2,"   Malignant neoplasm of peritoneum, unspecified"
C48.8,   Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum
C49.0,"   Malignant neoplasm of connective and soft tissue of head, face and neck"
C49.10,"  Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder"
C49.11,"  Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder"
C49.12,"  Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder"
C49.20,"  Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip"
C49.21,"  Malignant neoplasm of connective and soft tissue of right lower limb, including hip"
C49.22,"  Malignant neoplasm of connective and soft tissue of left lower limb, including hip"
C49.3,   Malignant neoplasm of connective and soft tissue of thorax
C49.4,   Malignant neoplasm of connective and soft tissue of abdomen
C49.5,   Malignant neoplasm of connective and soft tissue of pelvis
C49.6,"   Malignant neoplasm of connective and soft tissue of trunk, unspecified"
C49.8,   Malignant neoplasm of overlapping sites of connective and soft tissue
C49.9,"   Malignant neoplasm of connective and soft tissue, unspecified"
C49.A0,"  Gastrointestinal stromal tumor, unspecified site"
C49.A1,  Gastrointestinal stromal tumor of esophagus
C49.A2,  Gastrointestinal stromal tumor of stomach
C49.A3,  Gastrointestinal stromal tumor of small intestine
C49.A4,  Gastrointestinal stromal tumor of large intestine
C49.A5,  Gastrointestinal stromal tumor of rectum
C49.A9,  Gastrointestinal stromal tumor of other sites
C50.011," Malignant neoplasm of nipple and areola, right female breast"
C50.012," Malignant neoplasm of nipple and areola, left female breast"
C50.019," Malignant neoplasm of nipple and areola, unspecified female breast"
C50.021," Malignant neoplasm of nipple and areola, right male breast"
C50.022," Malignant neoplasm of nipple and areola, left male breast"
C50.029," Malignant neoplasm of nipple and areola, unspecified male breast"
C50.111, Malignant neoplasm of central portion of right female breast
C50.112, Malignant neoplasm of central portion of left female breast
C50.119, Malignant neoplasm of central portion of unspecified female breast
C50.121, Malignant neoplasm of central portion of right male breast
C50.122, Malignant neoplasm of central portion of left male breast
C50.129, Malignant neoplasm of central portion of unspecified male breast
C50.211, Malignant neoplasm of upper-inner quadrant of right female breast
C50.212, Malignant neoplasm of upper-inner quadrant of left female breast
C50.219, Malignant neoplasm of upper-inner quadrant of unspecified female breast
C50.221, Malignant neoplasm of upper-inner quadrant of right male breast
C50.222, Malignant neoplasm of upper-inner quadrant of left male breast
C50.229, Malignant neoplasm of upper-inner quadrant of unspecified male breast
C50.311, Malignant neoplasm of lower-inner quadrant of right female breast
C50.312, Malignant neoplasm of lower-inner quadrant of left female breast
C50.319, Malignant neoplasm of lower-inner quadrant of unspecified female breast
C50.321, Malignant neoplasm of lower-inner quadrant of right male breast
C50.322, Malignant neoplasm of lower-inner quadrant of left male breast
C50.329, Malignant neoplasm of lower-inner quadrant of unspecified male breast
C50.411, Malignant neoplasm of upper-outer quadrant of right female breast
C50.412, Malignant neoplasm of upper-outer quadrant of left female breast
C50.419, Malignant neoplasm of upper-outer quadrant of unspecified female breast
C50.421, Malignant neoplasm of upper-outer quadrant of right male breast
C50.422, Malignant neoplasm of upper-outer quadrant of left male breast
C50.429, Malignant neoplasm of upper-outer quadrant of unspecified male breast
C50.511, Malignant neoplasm of lower-outer quadrant of right female breast
C50.512, Malignant neoplasm of lower-outer quadrant of left female breast
C50.519, Malignant neoplasm of lower-outer quadrant of unspecified female breast
C50.521, Malignant neoplasm of lower-outer quadrant of right male breast
C50.522, Malignant neoplasm of lower-outer quadrant of left male breast
C50.529, Malignant neoplasm of lower-outer quadrant of unspecified male breast
C50.611, Malignant neoplasm of axillary tail of right female breast
C50.612, Malignant neoplasm of axillary tail of left female breast
C50.619, Malignant neoplasm of axillary tail of unspecified female breast
C50.621, Malignant neoplasm of axillary tail of right male breast
C50.622, Malignant neoplasm of axillary tail of left male breast
C50.629, Malignant neoplasm of axillary tail of unspecified male breast
C50.811, Malignant neoplasm of overlapping sites of right female breast
C50.812, Malignant neoplasm of overlapping sites of left female breast
C50.819, Malignant neoplasm of overlapping sites of unspecified female breast
C50.821, Malignant neoplasm of overlapping sites of right male breast
C50.822, Malignant neoplasm of overlapping sites of left male breast
C50.829, Malignant neoplasm of overlapping sites of unspecified male breast
C50.911, Malignant neoplasm of unspecified site of right female breast
C50.912, Malignant neoplasm of unspecified site of left female breast
C50.919, Malignant neoplasm of unspecified site of unspecified female breast
C50.921, Malignant neoplasm of unspecified site of right male breast
C50.922, Malignant neoplasm of unspecified site of left male breast
C50.929, Malignant neoplasm of unspecified site of unspecified male breast
C51.0,   Malignant neoplasm of labium majus
C51.1,   Malignant neoplasm of labium minus
C51.2,   Malignant neoplasm of clitoris
C51.8,   Malignant neoplasm of overlapping sites of vulva
C51.9,"   Malignant neoplasm of vulva, unspecified"
C52.,    Malignant neoplasm of vagina
C53.0,   Malignant neoplasm of endocervix
C53.1,   Malignant neoplasm of exocervix
C53.8,   Malignant neoplasm of overlapping sites of cervix uteri
C53.9,"   Malignant neoplasm of cervix uteri, unspecified"
C54.0,   Malignant neoplasm of isthmus uteri
C54.1,   Malignant neoplasm of endometrium
C54.2,   Malignant neoplasm of myometrium
C54.3,   Malignant neoplasm of fundus uteri
C54.8,   Malignant neoplasm of overlapping sites of corpus uteri
C54.9,"   Malignant neoplasm of corpus uteri, unspecified"
C55.,"    Malignant neoplasm of uterus, part unspecified"
C56.1,   Malignant neoplasm of right ovary
C56.2,   Malignant neoplasm of left ovary
C56.3,   Malignant neoplasm of bilateral ovaries
C56.9,   Malignant neoplasm of unspecified ovary
C57.00,  Malignant neoplasm of unspecified fallopian tube
C57.01,  Malignant neoplasm of right fallopian tube
C57.02,  Malignant neoplasm of left fallopian tube
C57.10,  Malignant neoplasm of unspecified broad ligament
C57.11,  Malignant neoplasm of right broad ligament
C57.12,  Malignant neoplasm of left broad ligament
C57.20,  Malignant neoplasm of unspecified round ligament
C57.21,  Malignant neoplasm of right round ligament
C57.22,  Malignant neoplasm of left round ligament
C57.3,   Malignant neoplasm of parametrium
C57.4,"   Malignant neoplasm of uterine adnexa, unspecified"
C57.7,   Malignant neoplasm of other specified female genital organs
C57.8,   Malignant neoplasm of overlapping sites of female genital organs
C57.9,"   Malignant neoplasm of female genital organ, unspecified"
C58.,    Malignant neoplasm of placenta
C60.0,   Malignant neoplasm of prepuce
C60.1,   Malignant neoplasm of glans penis
C60.2,   Malignant neoplasm of body of penis
C60.8,   Malignant neoplasm of overlapping sites of penis
C60.9,"   Malignant neoplasm of penis, unspecified"
C61.,    Malignant neoplasm of prostate
C62.00,  Malignant neoplasm of unspecified undescended testis
C62.01,  Malignant neoplasm of undescended right testis
C62.02,  Malignant neoplasm of undescended left testis
C62.10,  Malignant neoplasm of unspecified descended testis
C62.11,  Malignant neoplasm of descended right testis
C62.12,  Malignant neoplasm of descended left testis
C62.90,"  Malignant neoplasm of unspecified testis, unspecified whether descended or undescended"
C62.91,"  Malignant neoplasm of right testis, unspecified whether descended or undescended"
C62.92,"  Malignant neoplasm of left testis, unspecified whether descended or undescended"
C63.00,  Malignant neoplasm of unspecified epididymis
C63.01,  Malignant neoplasm of right epididymis
C63.02,  Malignant neoplasm of left epididymis
C63.10,  Malignant neoplasm of unspecified spermatic cord
C63.11,  Malignant neoplasm of right spermatic cord
C63.12,  Malignant neoplasm of left spermatic cord
C63.2,   Malignant neoplasm of scrotum
C63.7,   Malignant neoplasm of other specified male genital organs
C63.8,   Malignant neoplasm of overlapping sites of male genital organs
C63.9,"   Malignant neoplasm of male genital organ, unspecified"
C64.1,"   Malignant neoplasm of right kidney, except renal pelvis"
C64.2,"   Malignant neoplasm of left kidney, except renal pelvis"
C64.9,"   Malignant neoplasm of unspecified kidney, except renal pelvis"
C65.1,   Malignant neoplasm of right renal pelvis
C65.2,   Malignant neoplasm of left renal pelvis
C65.9,   Malignant neoplasm of unspecified renal pelvis
C66.1,   Malignant neoplasm of right ureter
C66.2,   Malignant neoplasm of left ureter
C66.9,   Malignant neoplasm of unspecified ureter
C67.0,   Malignant neoplasm of trigone of bladder
C67.1,   Malignant neoplasm of dome of bladder
C67.2,   Malignant neoplasm of lateral wall of bladder
C67.3,   Malignant neoplasm of anterior wall of bladder
C67.4,   Malignant neoplasm of posterior wall of bladder
C67.5,   Malignant neoplasm of bladder neck
C67.6,   Malignant neoplasm of ureteric orifice
C67.7,   Malignant neoplasm of urachus
C67.8,   Malignant neoplasm of overlapping sites of bladder
C67.9,"   Malignant neoplasm of bladder, unspecified"
C68.0,   Malignant neoplasm of urethra
C68.1,   Malignant neoplasm of paraurethral glands
C68.8,   Malignant neoplasm of overlapping sites of urinary organs
C68.9,"   Malignant neoplasm of urinary organ, unspecified"
C69.00,  Malignant neoplasm of unspecified conjunctiva
C69.01,  Malignant neoplasm of right conjunctiva
C69.02,  Malignant neoplasm of left conjunctiva
C69.10,  Malignant neoplasm of unspecified cornea
C69.11,  Malignant neoplasm of right cornea
C69.12,  Malignant neoplasm of left cornea
C69.20,  Malignant neoplasm of unspecified retina
C69.21,  Malignant neoplasm of right retina
C69.22,  Malignant neoplasm of left retina
C69.30,  Malignant neoplasm of unspecified choroid
C69.31,  Malignant neoplasm of right choroid
C69.32,  Malignant neoplasm of left choroid
C69.40,  Malignant neoplasm of unspecified ciliary body
C69.41,  Malignant neoplasm of right ciliary body
C69.42,  Malignant neoplasm of left ciliary body
C69.50,  Malignant neoplasm of unspecified lacrimal gland and duct
C69.51,  Malignant neoplasm of right lacrimal gland and duct
C69.52,  Malignant neoplasm of left lacrimal gland and duct
C69.60,  Malignant neoplasm of unspecified orbit
C69.61,  Malignant neoplasm of right orbit
C69.62,  Malignant neoplasm of left orbit
C69.80,  Malignant neoplasm of overlapping sites of unspecified eye and adnexa
C69.81,  Malignant neoplasm of overlapping sites of right eye and adnexa
C69.82,  Malignant neoplasm of overlapping sites of left eye and adnexa
C69.90,  Malignant neoplasm of unspecified site of unspecified eye
C69.91,  Malignant neoplasm of unspecified site of right eye
C69.92,  Malignant neoplasm of unspecified site of left eye
C70.0,   Malignant neoplasm of cerebral meninges
C70.1,   Malignant neoplasm of spinal meninges
C70.9,"   Malignant neoplasm of meninges, unspecified"
C71.0,"   Malignant neoplasm of cerebrum, except lobes and ventricles"
C71.1,   Malignant neoplasm of frontal lobe
C71.2,   Malignant neoplasm of temporal lobe
C71.3,   Malignant neoplasm of parietal lobe
C71.4,   Malignant neoplasm of occipital lobe
C71.5,   Malignant neoplasm of cerebral ventricle
C71.6,   Malignant neoplasm of cerebellum
C71.7,   Malignant neoplasm of brain stem
C71.8,   Malignant neoplasm of overlapping sites of brain
C71.9,"   Malignant neoplasm of brain, unspecified"
C72.0,   Malignant neoplasm of spinal cord
C72.1,   Malignant neoplasm of cauda equina
C72.20,  Malignant neoplasm of unspecified olfactory nerve
C72.21,  Malignant neoplasm of right olfactory nerve
C72.22,  Malignant neoplasm of left olfactory nerve
C72.30,  Malignant neoplasm of unspecified optic nerve
C72.31,  Malignant neoplasm of right optic nerve
C72.32,  Malignant neoplasm of left optic nerve
C72.40,  Malignant neoplasm of unspecified acoustic nerve
C72.41,  Malignant neoplasm of right acoustic nerve
C72.42,  Malignant neoplasm of left acoustic nerve
C72.50,  Malignant neoplasm of unspecified cranial nerve
C72.59,  Malignant neoplasm of other cranial nerves
C72.9,"   Malignant neoplasm of central nervous system, unspecified"
C73.,    Malignant neoplasm of thyroid gland
C74.00,  Malignant neoplasm of cortex of unspecified adrenal gland
C74.01,  Malignant neoplasm of cortex of right adrenal gland
C74.02,  Malignant neoplasm of cortex of left adrenal gland
C74.10,  Malignant neoplasm of medulla of unspecified adrenal gland
C74.11,  Malignant neoplasm of medulla of right adrenal gland
C74.12,  Malignant neoplasm of medulla of left adrenal gland
C74.90,  Malignant neoplasm of unspecified part of unspecified adrenal gland
C74.91,  Malignant neoplasm of unspecified part of right adrenal gland
C74.92,  Malignant neoplasm of unspecified part of left adrenal gland
C75.0,   Malignant neoplasm of parathyroid gland
C75.1,   Malignant neoplasm of pituitary gland
C75.2,   Malignant neoplasm of craniopharyngeal duct
C75.3,   Malignant neoplasm of pineal gland
C75.4,   Malignant neoplasm of carotid body
C75.5,   Malignant neoplasm of aortic body and other paraganglia
C75.8,"   Malignant neoplasm with pluriglandular involvement, unspecified"
C75.9,"   Malignant neoplasm of endocrine gland, unspecified"
C7A.00,  Malignant carcinoid tumor of unspecified site
C7A.010, Malignant carcinoid tumor of the duodenum
C7A.011, Malignant carcinoid tumor of the jejunum
C7A.012, Malignant carcinoid tumor of the ileum
C7A.019," Malignant carcinoid tumor of the small intestine, unspecified portion"
C7A.020, Malignant carcinoid tumor of the appendix
C7A.021, Malignant carcinoid tumor of the cecum
C7A.022, Malignant carcinoid tumor of the ascending colon
C7A.023, Malignant carcinoid tumor of the transverse colon
C7A.024, Malignant carcinoid tumor of the descending colon
C7A.025, Malignant carcinoid tumor of the sigmoid colon
C7A.026, Malignant carcinoid tumor of the rectum
C7A.029," Malignant carcinoid tumor of the large intestine, unspecified portion"
C7A.090, Malignant carcinoid tumor of the bronchus and lung
C7A.091, Malignant carcinoid tumor of the thymus
C7A.092, Malignant carcinoid tumor of the stomach
C7A.093, Malignant carcinoid tumor of the kidney
C7A.094," Malignant carcinoid tumor of the foregut, unspecified"
C7A.095," Malignant carcinoid tumor of the midgut, unspecified"
C7A.096," Malignant carcinoid tumor of the hindgut, unspecified"
C7A.098, Malignant carcinoid tumors of other sites
C7A.1,   Malignant poorly differentiated neuroendocrine tumors
C7A.8,   Other malignant neuroendocrine tumors
C7B.00,"  Secondary carcinoid tumors, unspecified site"
C7B.01,  Secondary carcinoid tumors of distant lymph nodes
C7B.02,  Secondary carcinoid tumors of liver
C7B.03,  Secondary carcinoid tumors of bone
C7B.04,  Secondary carcinoid tumors of peritoneum
C7B.09,  Secondary carcinoid tumors of other sites
C7B.1,   Secondary Merkel cell carcinoma
C7B.8,   Other secondary neuroendocrine tumors
C76.0,"   Malignant neoplasm of head, face and neck"
C76.1,   Malignant neoplasm of thorax
C76.2,   Malignant neoplasm of abdomen
C76.3,   Malignant neoplasm of pelvis
C76.40,  Malignant neoplasm of unspecified upper limb
C76.41,  Malignant neoplasm of right upper limb
C76.42,  Malignant neoplasm of left upper limb
C76.50,  Malignant neoplasm of unspecified lower limb
C76.51,  Malignant neoplasm of right lower limb
C76.52,  Malignant neoplasm of left lower limb
C76.8,   Malignant neoplasm of other specified ill-defined sites
C77.0,"   Secondary and unspecified malignant neoplasm of lymph nodes of head, face and neck"
C77.1,   Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes
C77.2,   Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes
C77.3,   Secondary and unspecified malignant neoplasm of axilla and upper limb lymph nodes
C77.4,   Secondary and unspecified malignant neoplasm of inguinal and lower limb lymph nodes
C77.5,   Secondary and unspecified malignant neoplasm of intrapelvic lymph nodes
C77.8,   Secondary and unspecified malignant neoplasm of lymph nodes of multiple regions
C77.9,"   Secondary and unspecified malignant neoplasm of lymph node, unspecified"
C78.00,  Secondary malignant neoplasm of unspecified lung
C78.01,  Secondary malignant neoplasm of right lung
C78.02,  Secondary malignant neoplasm of left lung
C78.1,   Secondary malignant neoplasm of mediastinum
C78.2,   Secondary malignant neoplasm of pleura
C78.30,  Secondary malignant neoplasm of unspecified respiratory organ
C78.39,  Secondary malignant neoplasm of other respiratory organs
C78.4,   Secondary malignant neoplasm of small intestine
C78.5,   Secondary malignant neoplasm of large intestine and rectum
C78.6,   Secondary malignant neoplasm of retroperitoneum and peritoneum
C78.7,   Secondary malignant neoplasm of liver and intrahepatic bile duct
C78.80,  Secondary malignant neoplasm of unspecified digestive organ
C78.89,  Secondary malignant neoplasm of other digestive organs
C79.00,  Secondary malignant neoplasm of unspecified kidney and renal pelvis
C79.01,  Secondary malignant neoplasm of right kidney and renal pelvis
C79.02,  Secondary malignant neoplasm of left kidney and renal pelvis
C79.10,  Secondary malignant neoplasm of unspecified urinary organs
C79.11,  Secondary malignant neoplasm of bladder
C79.19,  Secondary malignant neoplasm of other urinary organs
C79.2,   Secondary malignant neoplasm of skin
C79.31,  Secondary malignant neoplasm of brain
C79.32,  Secondary malignant neoplasm of cerebral meninges
C79.40,  Secondary malignant neoplasm of unspecified part of nervous system
C79.49,  Secondary malignant neoplasm of other parts of nervous system
C79.51,  Secondary malignant neoplasm of bone
C79.52,  Secondary malignant neoplasm of bone marrow
C79.60,  Secondary malignant neoplasm of unspecified ovary
C79.61,  Secondary malignant neoplasm of right ovary
C79.62,  Secondary malignant neoplasm of left ovary
C79.63,  Secondary malignant neoplasm of bilateral ovaries
C79.70,  Secondary malignant neoplasm of unspecified adrenal gland
C79.71,  Secondary malignant neoplasm of right adrenal gland
C79.72,  Secondary malignant neoplasm of left adrenal gland
C79.81,  Secondary malignant neoplasm of breast
C79.82,  Secondary malignant neoplasm of genital organs
C79.89,  Secondary malignant neoplasm of other specified sites
C79.9,   Secondary malignant neoplasm of unspecified site
C80.0,"   Disseminated malignant neoplasm, unspecified"
C80.1,"   Malignant (primary) neoplasm, unspecified"
C80.2,   Malignant neoplasm associated with transplanted organ
C81.00,"  Nodular lymphocyte predominant Hodgkin lymphoma, unspecified site"
C81.01,"  Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck"
C81.02,"  Nodular lymphocyte predominant Hodgkin lymphoma, intrathoracic lymph nodes"
C81.03,"  Nodular lymphocyte predominant Hodgkin lymphoma, intra-abdominal lymph nodes"
C81.04,"  Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of axilla and upper limb"
C81.05,"  Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
C81.06,"  Nodular lymphocyte predominant Hodgkin lymphoma, intrapelvic lymph nodes"
C81.07,"  Nodular lymphocyte predominant Hodgkin lymphoma, spleen"
C81.08,"  Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites"
C81.09,"  Nodular lymphocyte predominant Hodgkin lymphoma, extranodal and solid organ sites"
C81.0A,"  Nodular lymphocyte predominant Hodgkin lymphoma, in remission"
C81.10,"  Nodular sclerosis Hodgkin lymphoma, unspecified site"
C81.11,"  Nodular sclerosis Hodgkin lymphoma, lymph nodes of head, face, and neck"
C81.12,"  Nodular sclerosis Hodgkin lymphoma, intrathoracic lymph nodes"
C81.13,"  Nodular sclerosis Hodgkin lymphoma, intra-abdominal lymph nodes"
C81.14,"  Nodular sclerosis Hodgkin lymphoma, lymph nodes of axilla and upper limb"
C81.15,"  Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
C81.16,"  Nodular sclerosis Hodgkin lymphoma, intrapelvic lymph nodes"
C81.17,"  Nodular sclerosis Hodgkin lymphoma, spleen"
C81.18,"  Nodular sclerosis Hodgkin lymphoma, lymph nodes of multiple sites"
C81.19,"  Nodular sclerosis Hodgkin lymphoma, extranodal and solid organ sites"
C81.1A,"  Nodular sclerosis Hodgkin lymphoma, in remission"
C81.20,"  Mixed cellularity Hodgkin lymphoma, unspecified site"
C81.21,"  Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck"
C81.22,"  Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes"
C81.23,"  Mixed cellularity Hodgkin lymphoma, intra-abdominal lymph nodes"
C81.24,"  Mixed cellularity Hodgkin lymphoma, lymph nodes of axilla and upper limb"
C81.25,"  Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
C81.26,"  Mixed cellularity Hodgkin lymphoma, intrapelvic lymph nodes"
C81.27,"  Mixed cellularity Hodgkin lymphoma, spleen"
C81.28,"  Mixed cellularity Hodgkin lymphoma, lymph nodes of multiple sites"
C81.29,"  Mixed cellularity Hodgkin lymphoma, extranodal and solid organ sites"
C81.2A,"  Mixed cellularity Hodgkin lymphoma, in remission"
C81.30,"  Lymphocyte depleted Hodgkin lymphoma, unspecified site"
C81.31,"  Lymphocyte depleted Hodgkin lymphoma, lymph nodes of head, face, and neck"
C81.32,"  Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes"
C81.33,"  Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes"
C81.34,"  Lymphocyte depleted Hodgkin lymphoma, lymph nodes of axilla and upper limb"
C81.35,"  Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb"
C81.36,"  Lymphocyte depleted Hodgkin lymphoma, intrapelvic lymph nodes"
